iter	RMSE
0	0.4006970273
1	0.4006214129
2	0.4005521824
3	0.4004838236
4	0.4004165046
5	0.4003499506
6	0.4002823553
7	0.4002180391
8	0.4001550902
9	0.4000897696
10	0.4000321818
11	0.3999777225
12	0.3999239668
13	0.3998680963
14	0.3998149557
15	0.3997616194
16	0.3997161931
17	0.399669889
18	0.3996175463
19	0.3995712904
20	0.3995430792
21	0.3995036782
22	0.3994581501
23	0.3994212694
24	0.3993787911
25	0.3993433821
26	0.3993033681
27	0.3992636173
28	0.3992294647
29	0.3991875083
30	0.3991518993
31	0.3991272547
32	0.3990918934
33	0.3990546887
34	0.3990238276
35	0.3989899095
36	0.398959063
37	0.3989311126
38	0.3989026863
39	0.3988741911
40	0.3988436699
41	0.3988280111
42	0.398801732
43	0.3987762242
44	0.3987496051
45	0.3987287807
46	0.3986923002
47	0.398664945
48	0.3986453664
49	0.3986192681
50	0.3985926231
51	0.3985685601
52	0.3985479093
53	0.3985277868
54	0.3985038288
55	0.3984757961
56	0.3984585841
57	0.3984367819
58	0.3984230182
59	0.398398782
60	0.3983792651
61	0.3983581526
62	0.3983360768
63	0.3983186706
64	0.3982961388
65	0.398273829
66	0.3982580929
67	0.3982451327
68	0.3982257016
69	0.398212552
70	0.3981940014
71	0.3981839009
72	0.3981669322
73	0.3981513061
74	0.3981348913
75	0.3981140007
76	0.3981024451
77	0.3980827475
78	0.3980624363
79	0.3980474921
80	0.3980365653
81	0.3980278278
82	0.3980149227
83	0.3980027854
84	0.3979877651
85	0.3979738805
86	0.3979591601
87	0.397944404
88	0.3979338145
89	0.3979232353
90	0.3979127725
91	0.3978972846
92	0.3978827171
93	0.3978643509
94	0.3978450256
95	0.3978389301
96	0.3978287324
97	0.3978238267
98	0.3978133977
99	0.3978040296
100	0.3977897543
101	0.3977770189
102	0.3977681789
103	0.3977532338
104	0.3977452799
105	0.3977383865
106	0.3977267318
107	0.3977086159
108	0.3976942567
109	0.3976872498
110	0.3976782546
111	0.3976670899
112	0.3976608863
113	0.3976481536
114	0.39763462
115	0.3976269332
116	0.3976187297
117	0.3976083159
118	0.3976008147
119	0.3975917094
120	0.3975818535
121	0.3975716918
122	0.3975551365
123	0.3975464392
124	0.397535267
125	0.397525168
126	0.3975195567
127	0.3975128624
128	0.3975002126
129	0.3974904792
130	0.3974823308
131	0.3974731498
132	0.3974657659
133	0.3974600491
134	0.397447992
135	0.3974446979
136	0.3974344918
137	0.3974188856
138	0.3974074354
139	0.3973978265
140	0.397390084
141	0.3973808319
142	0.3973697856
143	0.3973588435
144	0.397345352
145	0.3973398443
146	0.3973308059
147	0.3973255408
148	0.3973157178
149	0.3972999741
150	0.3972945832
151	0.3972850244
152	0.3972772167
153	0.3972704513
154	0.3972609591
155	0.3972530812
156	0.3972437007
157	0.3972361063
158	0.3972257742
159	0.3972210677
160	0.3972148423
161	0.3972069608
162	0.3972003464
163	0.3971926929
164	0.3971778788
165	0.3971708545
166	0.3971624421
167	0.3971571453
168	0.3971536612
169	0.3971463663
170	0.3971396446
171	0.3971330677
172	0.3971284669
173	0.3971221421
174	0.3971127425
175	0.3971037244
176	0.397087898
177	0.3970815977
178	0.3970694826
179	0.3970571509
180	0.3970491348
181	0.397037242
182	0.3970295678
183	0.3970203471
184	0.3970139449
185	0.3970048922
186	0.3969996482
187	0.3969914562
188	0.3969815563
189	0.3969744308
190	0.3969614693
191	0.3969535369
192	0.3969479948
193	0.3969424317
194	0.3969390133
195	0.3969318564
196	0.3969281326
197	0.3969219905
198	0.3969151278
199	0.3969046044
200	0.3968961803
201	0.3968909701
202	0.3968884431
203	0.3968794082
204	0.396870501
205	0.39686711
206	0.3968617385
207	0.3968568481
208	0.3968491378
209	0.3968459186
210	0.3968426982
211	0.3968310817
212	0.3968239218
213	0.3968171123
214	0.396813839
215	0.3968077705
216	0.3968007381
217	0.3967962258
218	0.3967875527
219	0.3967824032
220	0.3967767195
221	0.3967689987
222	0.3967622822
223	0.3967556663
224	0.396752697
225	0.3967462436
226	0.3967394083
227	0.3967318233
228	0.3967196984
229	0.3967106366
230	0.3967001066
231	0.3966950313
232	0.3966831921
233	0.3966744033
234	0.396668309
235	0.3966611137
236	0.3966565109
237	0.396651049
238	0.3966451864
239	0.3966395046
240	0.3966330788
241	0.3966258381
242	0.3966227924
243	0.3966188157
244	0.3966116699
245	0.3966033548
246	0.3965964856
247	0.3965862286
248	0.3965813569
249	0.3965737932
250	0.3965669586
251	0.3965618734
252	0.3965566514
253	0.3965533032
254	0.3965417807
255	0.3965351856
256	0.3965332508
257	0.3965261661
258	0.3965224642
259	0.3965169261
260	0.3965136888
261	0.3965061962
262	0.3965021439
263	0.3964924725
264	0.3964773999
265	0.3964739284
266	0.3964662782
267	0.3964605052
268	0.3964530996
269	0.3964439093
270	0.3964389443
271	0.396428137
272	0.3964211173
273	0.3964138218
274	0.3964050147
275	0.3963987363
276	0.3963923098
277	0.3963789347
278	0.396372965
279	0.396366958
280	0.3963627118
281	0.3963532812
282	0.3963436669
283	0.3963408068
284	0.3963369864
285	0.3963340501
286	0.3963295634
287	0.3963276555
288	0.3963231988
289	0.3963175781
290	0.3963107001
291	0.3963051853
292	0.3962971013
293	0.3962907173
294	0.3962851348
295	0.3962795928
296	0.3962724431
297	0.396264947
298	0.3962575301
299	0.3962501303
300	0.3962431282
301	0.3962386741
302	0.3962334348
303	0.3962271173
304	0.3962196916
305	0.3962118075
306	0.3962065934
307	0.3962001299
308	0.3961942497
309	0.3961876206
310	0.396181932
311	0.3961747918
312	0.396171809
313	0.3961662851
314	0.3961569462
315	0.3961468478
316	0.3961389903
317	0.3961327427
318	0.396128852
319	0.3961219739
320	0.3961155576
321	0.3961106188
322	0.3961054735
323	0.3961010297
324	0.396098457
325	0.3960948074
326	0.3960839906
327	0.396082392
328	0.3960757973
329	0.3960731421
330	0.3960702042
331	0.39606543
332	0.3960585762
333	0.3960502431
334	0.3960462922
335	0.3960406675
336	0.3960358683
337	0.3960314917
338	0.3960252004
339	0.3960198126
340	0.3960137467
341	0.3960057936
342	0.3959986691
343	0.395990465
344	0.3959858519
345	0.3959823437
346	0.3959770574
347	0.3959739298
348	0.3959703715
349	0.3959642118
350	0.3959594872
351	0.3959560025
352	0.3959512642
353	0.3959436136
354	0.3959388384
355	0.3959330813
356	0.3959262793
357	0.3959200972
358	0.3959181784
359	0.3959151373
360	0.3959113013
361	0.3959075483
362	0.3959033259
363	0.3958935274
364	0.3958907566
365	0.3958814616
366	0.3958748588
367	0.3958730111
368	0.3958657494
369	0.3958598721
370	0.3958540012
371	0.3958514483
372	0.3958440527
373	0.3958411935
374	0.3958366519
375	0.3958292703
376	0.3958267548
377	0.3958227715
378	0.3958137719
379	0.3958081179
380	0.3958033479
381	0.3957931419
382	0.3957895659
383	0.3957850865
384	0.3957797788
385	0.3957730889
386	0.3957704751
387	0.3957669738
388	0.3957588232
389	0.3957543854
390	0.3957508315
391	0.3957461241
392	0.3957413449
393	0.3957365182
394	0.3957329002
395	0.3957268585
396	0.3957256706
397	0.3957206846
398	0.3957168552
399	0.3957109407
400	0.39570535
401	0.3956941929
