iter	Passed	Remaining
0	1	1934
1	3	1883
2	5	1897
3	7	1969
4	9	1968
5	11	1923
6	13	1923
7	15	1887
8	17	1889
9	18	1867
10	20	1861
11	22	1846
12	24	1857
13	26	1866
14	28	1859
15	29	1839
16	31	1827
17	33	1802
18	34	1795
19	36	1786
20	38	1785
21	39	1770
22	41	1760
23	43	1753
24	45	1758
25	47	1765
26	49	1766
27	50	1751
28	52	1752
29	53	1740
30	55	1734
31	56	1722
32	58	1719
33	60	1715
34	62	1711
35	63	1713
36	65	1715
37	67	1704
38	68	1699
39	70	1702
40	72	1700
41	74	1693
42	76	1696
43	77	1689
44	79	1684
45	80	1676
46	82	1676
47	84	1672
48	86	1671
49	88	1672
50	89	1670
51	91	1665
52	93	1670
53	95	1667
54	96	1662
55	98	1662
56	100	1661
57	102	1660
58	104	1662
59	106	1665
60	107	1659
61	109	1654
62	110	1650
63	112	1648
64	114	1645
65	116	1649
66	118	1646
67	119	1643
68	121	1639
69	123	1637
70	124	1633
71	126	1630
72	128	1626
73	129	1624
74	131	1621
75	133	1620
76	134	1615
77	136	1613
78	138	1609
79	140	1610
80	141	1607
81	143	1608
82	145	1604
83	146	1601
84	148	1596
85	149	1592
86	151	1589
87	152	1585
88	154	1580
89	156	1579
90	157	1577
91	159	1577
92	161	1577
93	163	1576
94	165	1572
95	166	1570
96	168	1568
97	170	1569
98	172	1567
99	174	1568
100	176	1566
101	177	1565
102	179	1562
103	181	1561
104	182	1557
105	184	1556
106	186	1553
107	188	1555
108	190	1556
109	192	1558
110	194	1555
111	196	1557
112	198	1558
113	200	1558
114	202	1556
115	204	1558
116	206	1554
117	207	1552
118	209	1551
119	211	1550
120	213	1549
121	215	1549
122	217	1548
123	219	1548
124	220	1545
125	222	1543
126	224	1540
127	225	1539
128	227	1535
129	229	1532
130	230	1528
131	232	1527
132	233	1524
133	235	1522
134	237	1520
135	239	1518
136	240	1514
137	242	1512
138	243	1508
139	245	1506
140	246	1502
141	248	1500
142	249	1496
143	251	1493
144	252	1490
145	254	1490
146	256	1489
147	258	1488
148	260	1485
149	261	1484
150	263	1480
151	265	1479
152	266	1477
153	268	1474
154	269	1471
155	271	1469
156	273	1467
157	275	1466
158	276	1464
159	278	1462
160	280	1459
161	281	1457
162	283	1455
163	285	1452
164	286	1449
165	288	1446
166	289	1444
167	291	1443
168	293	1441
169	294	1440
170	296	1437
171	298	1435
172	299	1432
173	301	1431
174	303	1428
175	304	1426
176	306	1423
177	308	1423
178	309	1421
179	311	1420
180	313	1417
181	314	1414
182	316	1411
183	317	1409
184	319	1406
185	320	1404
186	322	1402
187	324	1400
188	325	1397
189	327	1396
190	329	1394
191	330	1392
192	332	1390
193	334	1387
194	335	1386
195	337	1384
196	339	1382
197	340	1380
198	342	1378
199	343	1375
200	345	1373
201	347	1371
202	348	1370
203	350	1367
204	352	1365
205	354	1364
206	355	1363
207	357	1360
208	359	1359
209	360	1357
210	362	1356
211	364	1354
212	366	1353
213	368	1351
214	370	1351
215	371	1350
216	373	1348
217	375	1346
218	377	1344
219	378	1342
220	380	1341
221	382	1341
222	384	1339
223	386	1337
224	388	1337
225	389	1335
226	391	1333
227	393	1331
228	395	1329
229	396	1328
230	399	1328
231	400	1326
232	402	1326
233	404	1324
234	406	1323
235	408	1322
236	410	1321
237	412	1319
238	414	1318
239	415	1316
240	417	1315
241	419	1313
242	421	1312
243	422	1310
244	424	1309
245	426	1307
246	428	1306
247	430	1304
248	432	1303
249	433	1301
250	436	1301
251	437	1299
252	439	1298
253	441	1296
254	443	1295
255	445	1293
256	447	1293
257	449	1292
258	451	1290
259	452	1288
260	454	1286
261	456	1286
262	458	1284
263	460	1283
264	462	1281
265	463	1279
266	465	1277
267	467	1276
268	468	1274
269	470	1273
270	472	1271
271	474	1269
272	475	1267
273	477	1265
274	479	1264
275	481	1262
276	482	1260
277	484	1259
278	486	1258
279	489	1258
280	491	1256
281	493	1255
282	494	1253
283	496	1252
284	498	1250
285	500	1249
286	502	1247
287	504	1246
288	505	1244
289	507	1242
290	509	1241
291	511	1239
292	513	1238
293	514	1236
294	516	1235
295	518	1233
296	520	1232
297	522	1230
298	523	1228
299	525	1226
300	527	1225
301	529	1222
302	531	1222
303	533	1221
304	535	1220
305	537	1219
306	539	1217
307	540	1215
308	542	1213
309	544	1211
310	546	1210
311	548	1209
312	550	1207
313	552	1206
314	553	1204
315	556	1203
316	557	1201
317	559	1200
318	561	1198
319	563	1197
320	564	1194
321	566	1192
322	568	1191
323	570	1189
324	572	1188
325	573	1186
326	575	1183
327	577	1182
328	578	1180
329	580	1178
330	582	1176
331	584	1175
332	585	1173
333	587	1172
334	589	1170
335	591	1168
336	593	1166
337	595	1165
338	597	1164
339	599	1163
340	601	1161
341	602	1159
342	604	1157
343	606	1155
344	607	1153
345	609	1152
346	611	1149
347	613	1148
348	614	1146
349	616	1145
350	618	1143
351	620	1141
352	621	1139
353	623	1138
354	625	1136
355	627	1134
356	628	1132
357	630	1130
358	632	1128
359	633	1126
360	635	1125
361	637	1123
362	638	1121
363	640	1119
364	642	1117
365	643	1115
366	645	1113
367	647	1112
368	649	1110
369	650	1108
370	652	1106
371	654	1105
372	656	1103
373	657	1101
374	659	1099
375	661	1097
376	663	1095
377	665	1094
378	666	1092
379	668	1090
380	670	1089
381	672	1087
382	673	1085
383	675	1083
384	677	1081
385	678	1079
386	680	1077
387	682	1076
388	683	1074
389	685	1072
390	687	1070
391	688	1068
392	690	1066
393	692	1065
394	694	1063
395	696	1061
396	697	1060
397	699	1058
398	701	1056
399	703	1054
400	704	1053
401	706	1051
402	708	1049
403	709	1047
404	711	1045
405	713	1043
406	714	1041
407	716	1039
408	718	1037
409	719	1035
410	721	1033
411	723	1032
412	724	1030
413	726	1028
414	728	1027
415	730	1025
416	732	1023
417	734	1022
418	735	1020
419	737	1018
420	739	1016
421	741	1015
422	742	1013
423	744	1011
424	746	1009
425	748	1008
426	749	1006
427	751	1004
428	753	1002
429	755	1001
430	757	999
431	758	997
432	760	996
433	762	994
434	764	992
435	766	991
436	768	989
437	769	987
438	771	986
439	773	984
440	775	982
441	777	981
442	778	979
443	781	978
444	782	976
445	784	974
446	786	973
447	788	971
448	790	970
449	792	968
450	794	966
451	796	965
452	798	964
453	800	962
454	802	960
455	804	959
456	805	957
457	807	955
458	809	953
459	811	952
460	813	950
461	815	949
462	817	948
463	819	946
464	821	945
465	823	943
466	825	941
467	827	940
468	829	939
469	831	937
470	833	935
471	835	934
472	836	932
473	838	930
474	840	928
475	841	926
476	843	925
477	845	923
478	847	922
479	849	920
480	851	918
481	853	916
482	855	915
483	857	913
484	859	912
485	860	910
486	862	908
487	864	907
488	866	905
489	868	903
490	870	902
491	872	900
492	874	899
493	876	897
494	878	895
495	880	894
496	882	892
497	884	891
498	886	889
499	887	887
500	890	886
501	892	885
502	894	883
503	895	881
504	897	879
505	899	878
506	901	876
507	903	875
508	907	875
509	909	873
510	912	872
511	914	871
512	917	870
513	920	870
514	923	869
515	925	868
516	927	866
517	930	865
518	932	864
519	934	862
520	936	860
521	938	859
522	940	857
523	942	856
524	944	854
525	946	853
526	949	851
527	951	850
528	953	849
529	956	847
530	958	846
531	960	844
532	962	843
533	964	841
534	966	839
535	968	838
536	970	836
537	972	834
538	973	833
539	975	831
540	977	829
541	979	827
542	981	826
543	983	824
544	985	822
545	987	821
546	989	819
547	991	818
548	993	816
549	995	814
550	997	812
551	999	810
552	1000	809
553	1002	807
554	1004	805
555	1006	803
556	1007	801
557	1009	799
558	1011	797
559	1012	795
560	1014	794
561	1016	792
562	1018	790
563	1020	788
564	1021	786
565	1023	784
566	1025	783
567	1027	781
568	1028	779
569	1030	777
570	1032	775
571	1034	773
572	1036	772
573	1037	770
574	1039	768
575	1041	766
576	1043	764
577	1045	763
578	1047	761
579	1048	759
580	1051	758
581	1052	756
582	1054	754
583	1056	752
584	1058	750
585	1059	748
586	1061	746
587	1063	744
588	1065	743
589	1066	741
590	1068	739
591	1070	737
592	1072	735
593	1073	734
594	1075	732
595	1077	730
596	1079	728
597	1080	726
598	1082	724
599	1084	723
600	1086	721
601	1088	719
602	1090	717
603	1091	715
604	1093	714
605	1096	712
606	1098	711
607	1099	709
608	1101	707
609	1103	705
610	1105	703
611	1106	701
612	1109	700
613	1110	698
614	1113	696
615	1114	695
616	1117	693
617	1118	691
618	1120	689
619	1122	687
620	1124	685
621	1125	684
622	1127	682
623	1129	680
624	1131	678
625	1133	676
626	1135	675
627	1137	673
628	1138	671
629	1140	670
630	1142	668
631	1144	666
632	1146	664
633	1147	662
634	1149	660
635	1150	658
636	1152	657
637	1154	655
638	1156	653
639	1172	659
640	1173	657
641	1175	655
642	1177	653
643	1179	652
644	1181	650
645	1183	648
646	1185	646
647	1187	645
648	1189	643
649	1191	641
650	1193	639
651	1195	637
652	1196	635
653	1198	634
654	1200	632
655	1201	630
656	1203	628
657	1205	626
658	1207	624
659	1209	622
660	1211	621
661	1212	619
662	1214	617
663	1216	615
664	1218	613
665	1220	612
666	1222	610
667	1223	608
668	1225	606
669	1227	604
670	1229	602
671	1230	600
672	1232	599
673	1234	597
674	1236	595
675	1238	593
676	1240	591
677	1241	589
678	1243	587
679	1245	586
680	1247	584
681	1248	582
682	1251	580
683	1252	578
684	1254	576
685	1256	575
686	1258	573
687	1259	571
688	1262	569
689	1263	567
690	1265	566
691	1267	564
692	1269	562
693	1271	560
694	1273	558
695	1275	556
696	1276	555
697	1278	553
698	1280	551
699	1282	549
700	1284	548
701	1286	546
702	1288	544
703	1290	542
704	1292	540
705	1294	539
706	1296	537
707	1298	535
708	1300	533
709	1302	531
710	1304	530
711	1306	528
712	1308	526
713	1310	524
714	1311	522
715	1313	520
716	1315	519
717	1317	517
718	1319	515
719	1320	513
720	1322	511
721	1324	510
722	1326	508
723	1328	506
724	1330	504
725	1331	502
726	1333	500
727	1335	499
728	1337	497
729	1339	495
730	1341	493
731	1342	491
732	1344	489
733	1346	487
734	1348	486
735	1350	484
736	1352	482
737	1353	480
738	1355	478
739	1357	476
740	1359	475
741	1361	473
742	1363	471
743	1365	469
744	1366	467
745	1368	465
746	1370	464
747	1371	462
748	1374	460
749	1375	458
750	1377	456
751	1379	454
752	1381	453
753	1383	451
754	1385	449
755	1387	447
756	1388	445
757	1390	443
758	1392	442
759	1394	440
760	1395	438
761	1397	436
762	1399	434
763	1401	432
764	1403	431
765	1405	429
766	1406	427
767	1408	425
768	1410	423
769	1411	421
770	1414	419
771	1415	418
772	1417	416
773	1418	414
774	1420	412
775	1422	410
776	1424	408
777	1426	406
778	1428	405
779	1429	403
780	1431	401
781	1433	399
782	1435	397
783	1436	395
784	1438	394
785	1440	392
786	1442	390
787	1443	388
788	1445	386
789	1447	384
790	1449	382
791	1450	381
792	1452	379
793	1454	377
794	1456	375
795	1457	373
796	1459	371
797	1461	369
798	1462	367
799	1464	366
800	1466	364
801	1468	362
802	1470	360
803	1471	358
804	1473	356
805	1475	355
806	1477	353
807	1479	351
808	1480	349
809	1498	351
810	1499	349
811	1501	347
812	1503	345
813	1504	343
814	1506	342
815	1508	340
816	1510	338
817	1511	336
818	1513	334
819	1515	332
820	1517	330
821	1519	328
822	1521	327
823	1522	325
824	1524	323
825	1526	321
826	1527	319
827	1529	317
828	1531	315
829	1533	314
830	1534	312
831	1536	310
832	1538	308
833	1540	306
834	1541	304
835	1543	302
836	1545	300
837	1547	299
838	1548	297
839	1550	295
840	1551	293
841	1553	291
842	1555	289
843	1557	287
844	1559	286
845	1561	284
846	1562	282
847	1564	280
848	1565	278
849	1567	276
850	1569	274
851	1571	273
852	1573	271
853	1575	269
854	1577	267
855	1579	265
856	1580	263
857	1583	261
858	1584	260
859	1586	258
860	1588	256
861	1589	254
862	1591	252
863	1593	250
864	1595	248
865	1596	247
866	1598	245
867	1600	243
868	1601	241
869	1603	239
870	1605	237
871	1607	235
872	1608	234
873	1610	232
874	1612	230
875	1614	228
876	1616	226
877	1617	224
878	1619	222
879	1621	221
880	1622	219
881	1624	217
882	1625	215
883	1627	213
884	1629	211
885	1630	209
886	1633	208
887	1634	206
888	1636	204
889	1638	202
890	1639	200
891	1641	198
892	1643	196
893	1644	195
894	1646	193
895	1648	191
896	1649	189
897	1651	187
898	1653	185
899	1655	183
900	1656	182
901	1658	180
902	1660	178
903	1661	176
904	1663	174
905	1664	172
906	1666	170
907	1667	169
908	1669	167
909	1671	165
910	1673	163
911	1674	161
912	1676	159
913	1678	157
914	1680	156
915	1682	154
916	1684	152
917	1686	150
918	1687	148
919	1689	146
920	1691	145
921	1693	143
922	1695	141
923	1697	139
924	1698	137
925	1700	135
926	1701	134
927	1703	132
928	1705	130
929	1707	128
930	1709	126
931	1711	124
932	1713	123
933	1715	121
934	1717	119
935	1719	117
936	1720	115
937	1722	113
938	1724	112
939	1726	110
940	1727	108
941	1729	106
942	1731	104
943	1733	102
944	1734	100
945	1736	99
946	1738	97
947	1739	95
948	1741	93
949	1743	91
950	1744	89
951	1746	88
952	1747	86
953	1750	84
954	1751	82
955	1753	80
956	1755	78
957	1757	77
958	1758	75
959	1760	73
960	1762	71
961	1763	69
962	1765	67
963	1768	66
964	1770	64
965	1772	62
966	1774	60
967	1776	58
968	1778	56
969	1780	55
970	1781	53
971	1783	51
972	1785	49
973	1786	47
974	1788	45
975	1790	44
976	1792	42
977	1793	40
978	1795	38
979	1797	36
980	1798	34
981	1800	33
982	1802	31
983	1804	29
984	1805	27
985	1807	25
986	1809	23
987	1811	21
988	1813	20
989	1814	18
990	1816	16
991	1818	14
992	1820	12
993	1821	10
994	1823	9
995	1825	7
996	1826	5
997	1828	3
998	1830	1
999	1832	0
